timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume
1781624215.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624216.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624217.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624218.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624219.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624220.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624221.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,108956459.0,320.33198946,21.0,108956459.0,320.33198946
1781624222.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624223.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624224.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,381468800.0,1121.518272,11.0,381468800.0,1121.518272
1781624225.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,2276603969.0,6693.21566886,15.0,2276603969.0,6693.21566886
1781624226.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624227.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,28749952.0,84.52485888,2.0,0.0,0.0
1781624228.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624229.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,153741496.0,451.99999824,1.0,0.0,0.0
1781624230.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624231.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,5930862655.0,17436.7362057,27.0,0.0,0.0
1781624232.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624233.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,3176058.0,9.30584994,1.0,0.0,0.0
1781624234.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624235.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624236.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624237.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624238.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624239.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624240.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624241.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624242.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624243.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,3900847.0,11.42948171,1.0,0.0,0.0
1781624244.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624245.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624246.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624247.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624248.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624249.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624250.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624251.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624252.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624253.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624254.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624255.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624256.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,2977551.0,8.75399994,1.0,2977551.0,8.75399994
1781624257.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624258.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,6562397.0,19.22782321,1.0,0.0,0.0
1781624259.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624260.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624261.0,2.93e-06,2.93e-06,2.93e-06,2.93e-06,0.0,0.0,0.0,0.0,0.0
1781624262.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,2639788.0,7.76097672,1.0,2639788.0,7.76097672
1781624263.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624264.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624265.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624266.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624267.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624268.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624269.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624270.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624271.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624272.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624273.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624274.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624275.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624276.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624277.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624278.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,5442176.0,15.99999744,1.0,5442176.0,15.99999744
1781624279.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624280.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624281.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624282.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624283.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624284.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624285.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624286.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624287.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624288.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624289.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624290.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624291.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624292.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624293.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,42585540.0,125.2014876,1.0,42585540.0,125.2014876
1781624294.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624295.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624296.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
1781624297.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,3407156.0,10.01703864,1.0,3407156.0,10.01703864
1781624298.0,2.94e-06,2.94e-06,2.94e-06,2.94e-06,0.0,0.0,0.0,0.0,0.0
